,Li,Be,B,C,N,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Tl,Pb,Bi,1_electronegativity,1_delta_fus H,1_density,2_electronegativity,2_delta_fus H,2_density,3_electronegativity,3_delta_fus H,3_density,4_electronegativity,4_delta_fus H,4_density,5_electronegativity,5_delta_fus H,5_density,6_electronegativity,6_delta_fus H,6_density,7_electronegativity,7_delta_fus H,7_density,8_electronegativity,8_delta_fus H,8_density,Promotor_Cl,Promotor_P,Promotor_B,Promotor_Br,Promotor_S,Promotor_Cl_B,Promotor_F,Impregnation,Therm.decomp.,Precipitation,Sol-gel,Pyrolysis,Mech. Mixing,Physical mixing,Citric acid method,Slurry,Ceramic method,Solid-phase technique,Citrate method,Hydrothermal treatment,Microemulsion,Electrospining,SCS,SGS,SPS,IJP-A synthesis,Pechini method,"Temperature, K",p(CH4)/p(O2),"p total, bar","Contact time, s",ei,make_nei,cluster,pred_y,sigma,CI_low,CI_high
0,27.70000076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.30000305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.6800049,933.3930394,527.7900223,26.86900074,83.10000229,14.79180041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1023,1.666666985,1.013000011,1.2,2.294257804,FALSE,31,25.69275887,13.51625076,-0.799092612,52.18461035
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,49.5,371.5,132,48.6,245.7,304.65,5.3,38.3,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1023,1.985074997,1.013000011,0.79,2.289852669,FALSE,79,25.88129887,13.34722751,-0.279267054,52.04186479
2,0,0,0,0,0,0,19.2506,0,0,60.90628,0,0,17.2148,0,0,0,0,0,0,1.61042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0179,0,0,0,0,0,0,0,0,105.9769272,3058.104319,141.8507261,19.443106,50.05156,18.673082,48.717884,110.17472,132.741965,2.576672,20.7905222,11.756066,1.42506,53.246349,19.64547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1023,1.6,1.01,0.0181941,1.671710078,FALSE,41,25.5492635,11.70838707,2.600824847,48.49770216
3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,1032.8,584,19.4,60,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1023,1.961537957,1,0.6,1.370826139,FALSE,74,23.63439867,12.12257295,-0.125844309,47.39464164
4,17.20000076,0,0,0,0,0,0,82.80000305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.8440038,702.1440259,144.0720053,16.68400074,51.60000229,9.184800407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1043,3,1.013000011,5.5,1.309948204,FALSE,65,22.96944031,12.37512029,-1.285795447,47.22467608
5,0,0,0,42.72993836,0,0,0,0,0,0,0,0,0,10.10173512,0,23.59737757,0,0,0,0,0,0,0,0,0,0,17.80734205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.763606901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.8248459,4999.402788,94.0058644,28.31685308,332.7230237,70.55615894,35.97083094,657.8032153,94.79560466,9.192578957,23.53704283,8.990544255,12.73757125,89.45117911,28.43187284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,1.6,1.01,0.000665,1.286367986,FALSE,6,23.998899,11.56079618,1.33973848,46.65805952
6,0,0,0,0,0,0,0,21.97539774,0,45.85475476,0,0,0,0,0,5.961319344,0,0,0,0,0,0,0,0,0,0,5.733376675,0,0,0,0,0,0,0,0,0,20.47515148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.78727329,2302.367237,106.7957238,27.02973922,186.3513728,38.23719207,29.0747151,790.1360956,247.7493329,7.153583213,84.05460275,17.82434484,11.58142088,211.7909344,30.52105739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,1.624705937,1.391861774,0.027932961,1.220073217,FALSE,10,23.47768456,11.68834774,0.568522987,46.38684614
7,0,6.724834263,0,0,0,0,0,0,0,0,0,0,0,0,0,30.74529436,0,0,0,0,0,0,0,0,0,0,30.9305687,25.31902333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.280279345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.47974877,1142.575208,164.6557894,36.89435324,433.5086505,91.92843015,55.70185132,618.7969301,145.5843841,9.885506367,53.09256651,12.44094339,13.87941735,97.46993544,30.98061801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1023.15,1.406446199,2.749855551,0.125875,1.054595707,FALSE,49,22.75373373,11.55467692,0.106566971,45.40090049
8,0,0,0,0,0,0,0,14.38860067,9.041852394,35.52861137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3919289,0,0,2.101191711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.547814957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.81978378,1783.891577,82.74613587,88.75388519,342.3826885,249.7716089,17.69797883,122.0153337,25.03616517,13.29152302,97.55254548,24.41300146,7.202596453,111.3128543,57.62077162,2.332322799,23.9535855,9.392326946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,1.275927076,1.01,0.0006601,1.013728373,FALSE,38,25.53645838,9.485792642,6.944304803,44.12861196
9,0,0,0,0,0,0,0,36.03829495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.64411461,0,0,0,0,0,0,0,0,30.31759043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.32710279,305.6047412,62.70663322,67.96111152,1242.813594,179.1010797,39.41286756,1136.303289,309.2394224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073,2.497005939,1.013000011,3.6,0.952395837,FALSE,51,23.96609744,10.33608856,3.707363863,44.22483102
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.72376935,0,0,27.9002101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.37602055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0861022,287.5313274,285.2125264,56.35842441,1030.633761,148.5239785,45.01659636,332.6083376,230.4849733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1023,1.935484052,0.676424395,2.4,0.947717225,FALSE,25,23.16154301,10.85597217,1.883837567,44.43924846
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.87461465,36.89049325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2348921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.26859191,520.1559549,110.3025748,34.18959923,280.7492091,50.62690656,39.30535973,1133.203756,308.3958994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1039.681546,0.902365472,0.704034764,1.788672152,0.924281821,FALSE,45,23.84054433,10.3093786,3.634162284,44.04692638
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.40507162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.59492838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.44657336,596.8677886,586.0004479,33.13824468,606.0033458,87.33075828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1100,3.950000048,2.244407932,0.350891433,0.920607973,FALSE,52,22.19900902,11.37705103,-0.100011007,44.49802905
13,0,0,0,0,0,0,0,0,0,34.44890716,0,0,0,0,29.11336113,0,0,0,0,0,0,0,0,0,0,0,23.15129926,3.621319461,0,0,0,0,0,0,9.665112988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.94109845,1729.679628,80.23150477,30.27789558,248.6281041,44.83457614,46.76562451,855.2089947,123.2436265,11.88808898,289.9533896,82.83001831,7.966902813,88.50504762,20.8225869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.003991,1.392570675,1.904328298,0.020084085,0.914180996,FALSE,62,20.33027421,12.54748962,-4.262805452,44.92335387
14,0,0,0,45.7745389,0,0,0,0,0,0,0,0,0,0,0,20.83055877,0,0,0,0,0,0,0,0,0,0,20.33384701,0,0,0,0,0,0,0,5.329270152,7.731785163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.4363472,5355.621051,100.7039856,24.99667053,293.7108787,62.28337072,41.07437097,751.1323087,108.2452012,10.05132071,289.7873079,78.86420866,6.555002287,159.8781045,45.6718452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.048233,0.888193604,2.95829982,0.0435584,0.906972893,FALSE,58,20.7944418,12.22135762,-3.159419139,44.74830275
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.40591836,0,0,0,0,0,0,0,0,0,0,16.47668105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.11740059,0,0,0,59.28710203,696.6234489,147.7236959,48.44670884,433.9733355,658.4658314,33.28289571,608.6485979,87.71196389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1023,2,1.013000011,2,0.897045505,FALSE,9,22.6226305,11.00253108,1.057669593,44.18759141
16,0,0,0,38.78050838,0,0,0,0,0,0,0,0,0,0,0,31.54223551,0,0,0,0,0,0,0,0,0,0,16.02572757,7.874116091,0,0,0,0,0,0,0,0,0,5.777412445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.95127094,4537.31948,85.31711843,37.85068262,444.7455208,94.31128419,32.37196969,591.9903765,85.31135815,17.3230554,192.4433973,45.27616753,8.377248045,153.6213969,71.63991432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.721122,0.631635718,3.017719687,0.072,0.894284592,FALSE,75,21.31577262,11.83372805,-1.878334366,44.50987961
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.87494821,0,0,0,0,0,0,0,0,23.19494894,0,0,0,0,0,0,0,0,38.93010285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.60913371,1459.100255,397.0870491,54.9186749,814.3113864,227.2496892,46.85379686,856.8214138,123.4759912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1048.15,2,0.847507357,2.029623954,0.892909644,FALSE,27,22.39092688,11.1358451,0.564670492,44.21718326
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.74731648,20.6025413,0,0,0,45.65014222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.1936408,339.1805567,120.5163755,68.1695793,1246.625871,179.6504646,45.32559085,503.5261093,118.4646125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1023,1.987951994,0.691861742,1.2,0.892817015,FALSE,19,22.38854341,11.13700088,0.560021682,44.21706513
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.88140294,38.65711639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.46148067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.38853967,545.0653412,115.584778,48.69992487,1404.056295,382.1071028,24.83665906,203.9471811,36.77736052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1023,1.960783958,1.013000011,4.1,0.882848035,FALSE,8,21.28608037,11.80273705,-1.847284249,44.41944499
